"","mgi_symbol","description"
"ENSMUSG00000105356","Gm42603","predicted gene 42603 [Source:MGI Symbol;Acc:MGI:5662740]"
"ENSMUSG00000105366","Gm43719","predicted gene 43719 [Source:MGI Symbol;Acc:MGI:5663856]"
"ENSMUSG00000105368","Gm43759","predicted gene 43759 [Source:MGI Symbol;Acc:MGI:5663896]"
"ENSMUSG00000105382","Gm43339","predicted gene 43339 [Source:MGI Symbol;Acc:MGI:5663476]"
"ENSMUSG00000105388","Rpl36a-ps2","ribosomal protein L36A, pseudogene 2 [Source:MGI Symbol;Acc:MGI:3780887]"
"ENSMUSG00000105402","Gm3716","predicted gene 3716 [Source:MGI Symbol;Acc:MGI:3781892]"
"ENSMUSG00000105406","Gm43247","predicted gene 43247 [Source:MGI Symbol;Acc:MGI:5663384]"
"ENSMUSG00000105423","Gm36814","predicted gene, 36814 [Source:MGI Symbol;Acc:MGI:5595973]"
"ENSMUSG00000105429","Gm43692","predicted gene 43692 [Source:MGI Symbol;Acc:MGI:5663829]"
"ENSMUSG00000105434","Gm43359","predicted gene 43359 [Source:MGI Symbol;Acc:MGI:5663496]"
"ENSMUSG00000105437","Gm42450","predicted gene 42450 [Source:MGI Symbol;Acc:MGI:5662587]"
"ENSMUSG00000105442","Gm42614","predicted gene 42614 [Source:MGI Symbol;Acc:MGI:5662751]"
"ENSMUSG00000105476","Gm35439","predicted gene, 35439 [Source:MGI Symbol;Acc:MGI:5594598]"
"ENSMUSG00000105509","C130013H08Rik","RIKEN cDNA C130013H08 gene [Source:MGI Symbol;Acc:MGI:3697343]"
"ENSMUSG00000105510","Gm43815","predicted gene 43815 [Source:MGI Symbol;Acc:MGI:5663952]"
"ENSMUSG00000105512","Gm43714","predicted gene 43714 [Source:MGI Symbol;Acc:MGI:5663851]"
"ENSMUSG00000105514","Gm42913","predicted gene 42913 [Source:MGI Symbol;Acc:MGI:5663050]"
"ENSMUSG00000105518","Gm42674","predicted gene 42674 [Source:MGI Symbol;Acc:MGI:5662811]"
"ENSMUSG00000105535","Gm43077","predicted gene 43077 [Source:MGI Symbol;Acc:MGI:5663214]"
"ENSMUSG00000105536","Gm4959","predicted gene 4959 [Source:MGI Symbol;Acc:MGI:3647044]"
"ENSMUSG00000105550","Gm35585","predicted gene, 35585 [Source:MGI Symbol;Acc:MGI:5594744]"
"ENSMUSG00000105552","Gm19710","predicted gene, 19710 [Source:MGI Symbol;Acc:MGI:5011895]"
"ENSMUSG00000105554","Gm7118","predicted gene 7118 [Source:MGI Symbol;Acc:MGI:3648119]"
"ENSMUSG00000105565","Gm43566","predicted gene 43566 [Source:MGI Symbol;Acc:MGI:5663703]"
"ENSMUSG00000105594","Gm43398","predicted gene 43398 [Source:MGI Symbol;Acc:MGI:5663535]"
"ENSMUSG00000105597","4633401B06Rik","RIKEN cDNA 4633401B06 gene [Source:MGI Symbol;Acc:MGI:1918078]"
"ENSMUSG00000105600","Gm5987","predicted gene 5987 [Source:MGI Symbol;Acc:MGI:3644525]"
"ENSMUSG00000105601","Gm42725","predicted gene 42725 [Source:MGI Symbol;Acc:MGI:5662862]"
"ENSMUSG00000105607","Gm43513","predicted gene 43513 [Source:MGI Symbol;Acc:MGI:5663650]"
"ENSMUSG00000105609","Gm42501","predicted gene 42501 [Source:MGI Symbol;Acc:MGI:5662638]"
"ENSMUSG00000105613","Gm43684","predicted gene 43684 [Source:MGI Symbol;Acc:MGI:5663821]"
"ENSMUSG00000105622","Gm42615","predicted gene 42615 [Source:MGI Symbol;Acc:MGI:5662752]"
"ENSMUSG00000105636","Gm43625","predicted gene 43625 [Source:MGI Symbol;Acc:MGI:5663762]"
"ENSMUSG00000105641","Gm5853","predicted gene 5853 [Source:MGI Symbol;Acc:MGI:3648707]"
"ENSMUSG00000105644","Gm19739","predicted gene, 19739 [Source:MGI Symbol;Acc:MGI:5011924]"
"ENSMUSG00000105651","1700017M07Rik","RIKEN cDNA 1700017M07 gene [Source:MGI Symbol;Acc:MGI:1923648]"
"ENSMUSG00000105664","Gm42797","predicted gene 42797 [Source:MGI Symbol;Acc:MGI:5662934]"
"ENSMUSG00000105676","Gm43403","predicted gene 43403 [Source:MGI Symbol;Acc:MGI:5663540]"
"ENSMUSG00000105677","Gm43328","predicted gene 43328 [Source:MGI Symbol;Acc:MGI:5663465]"
"ENSMUSG00000105679","Gm43338","predicted gene 43338 [Source:MGI Symbol;Acc:MGI:5663475]"
"ENSMUSG00000105687","Gm6157","predicted gene 6157 [Source:MGI Symbol;Acc:MGI:3779561]"
"ENSMUSG00000105692","Gm43737","predicted gene 43737 [Source:MGI Symbol;Acc:MGI:5663874]"
"ENSMUSG00000105694","Gm43237","predicted gene 43237 [Source:MGI Symbol;Acc:MGI:5663374]"
"ENSMUSG00000105698","Gm31881","predicted gene, 31881 [Source:MGI Symbol;Acc:MGI:5591040]"
"ENSMUSG00000105699","Gm43703","predicted gene 43703 [Source:MGI Symbol;Acc:MGI:5663840]"
"ENSMUSG00000105741","Lmbr1","limb region 1 [Source:MGI Symbol;Acc:MGI:1861746]"
"ENSMUSG00000105742","Gm42748","predicted gene 42748 [Source:MGI Symbol;Acc:MGI:5662885]"
"ENSMUSG00000105755","Gm43514","predicted gene 43514 [Source:MGI Symbol;Acc:MGI:5663651]"
"ENSMUSG00000105775","Gm10290","predicted pseudogene 10290 [Source:MGI Symbol;Acc:MGI:3642597]"
"ENSMUSG00000105776","Gm43292","predicted gene 43292 [Source:MGI Symbol;Acc:MGI:5663429]"
"ENSMUSG00000105784","Gm35065","predicted gene, 35065 [Source:MGI Symbol;Acc:MGI:5594224]"
"ENSMUSG00000105787","Gm8099","predicted gene 8099 [Source:MGI Symbol;Acc:MGI:3645754]"
"ENSMUSG00000105789","Gm42997","predicted gene 42997 [Source:MGI Symbol;Acc:MGI:5663134]"
"ENSMUSG00000105802","Gm43012","predicted gene 43012 [Source:MGI Symbol;Acc:MGI:5663149]"
"ENSMUSG00000105808","Gm42627","predicted gene 42627 [Source:MGI Symbol;Acc:MGI:5662764]"
"ENSMUSG00000105813","Gm42928","predicted gene 42928 [Source:MGI Symbol;Acc:MGI:5663065]"
"ENSMUSG00000105814","Mir703","microRNA 703 [Source:MGI Symbol;Acc:MGI:3629657]"
"ENSMUSG00000105834","4930592C13Rik","RIKEN cDNA 4930592C13 gene [Source:MGI Symbol;Acc:MGI:2686503]"
"ENSMUSG00000105837","Gm35986","predicted gene, 35986 [Source:MGI Symbol;Acc:MGI:5595145]"
"ENSMUSG00000105851","9130604C24Rik","RIKEN cDNA 9130604C24 gene [Source:MGI Symbol;Acc:MGI:1924957]"
"ENSMUSG00000105852","Gm42890","predicted gene 42890 [Source:MGI Symbol;Acc:MGI:5663027]"
"ENSMUSG00000105854","Gm8925","predicted gene 8925 [Source:MGI Symbol;Acc:MGI:3643158]"
"ENSMUSG00000105858","2310074N15Rik","RIKEN cDNA 2310074N15 gene [Source:MGI Symbol;Acc:MGI:1922838]"
"ENSMUSG00000105866","Gm6745","predicted gene 6745 [Source:MGI Symbol;Acc:MGI:3648302]"
"ENSMUSG00000105870","7330423F06Rik","RIKEN cDNA 7330423F06 gene [Source:MGI Symbol;Acc:MGI:1925396]"
"ENSMUSG00000105892","Gm35013","predicted gene, 35013 [Source:MGI Symbol;Acc:MGI:5594172]"
"ENSMUSG00000105895","Gm42829","predicted gene 42829 [Source:MGI Symbol;Acc:MGI:5662966]"
"ENSMUSG00000105896","Gm43311","predicted gene 43311 [Source:MGI Symbol;Acc:MGI:5663448]"
"ENSMUSG00000105914","Gm19243","predicted gene, 19243 [Source:MGI Symbol;Acc:MGI:5011428]"
"ENSMUSG00000105929","Gm43693","predicted gene 43693 [Source:MGI Symbol;Acc:MGI:5663830]"
"ENSMUSG00000105940","Gm42635","predicted gene 42635 [Source:MGI Symbol;Acc:MGI:5662772]"
"ENSMUSG00000105941","Gm42809","predicted gene 42809 [Source:MGI Symbol;Acc:MGI:5662946]"
"ENSMUSG00000105950","Gm43679","predicted gene 43679 [Source:MGI Symbol;Acc:MGI:5663816]"
"ENSMUSG00000105954","Gm42793","predicted gene 42793 [Source:MGI Symbol;Acc:MGI:5662930]"
"ENSMUSG00000105965","Cycs-ps2","cytochrome c, pseudogene 2 [Source:MGI Symbol;Acc:MGI:109499]"
"ENSMUSG00000105970","Gm43360","predicted gene 43360 [Source:MGI Symbol;Acc:MGI:5663497]"
"ENSMUSG00000105987","AI506816","expressed sequence AI506816 [Source:MGI Symbol;Acc:MGI:2140929]"
"ENSMUSG00000105992","Gm43651","predicted gene 43651 [Source:MGI Symbol;Acc:MGI:5663788]"
"ENSMUSG00000106004","Gm43391","predicted gene 43391 [Source:MGI Symbol;Acc:MGI:5663528]"
"ENSMUSG00000106015","Gm42980","predicted gene 42980 [Source:MGI Symbol;Acc:MGI:5663117]"
"ENSMUSG00000106019","Gm43672","predicted gene 43672 [Source:MGI Symbol;Acc:MGI:5663809]"
"ENSMUSG00000106020","4930573C15Rik","RIKEN cDNA 4930573C15 gene [Source:MGI Symbol;Acc:MGI:1923199]"
"ENSMUSG00000106022","Gm42929","predicted gene 42929 [Source:MGI Symbol;Acc:MGI:5663066]"
"ENSMUSG00000106025","Gm42940","predicted gene 42940 [Source:MGI Symbol;Acc:MGI:5663077]"
"ENSMUSG00000106035","Gm43545","predicted gene 43545 [Source:MGI Symbol;Acc:MGI:5663682]"
"ENSMUSG00000106036","Gm43608","predicted gene 43608 [Source:MGI Symbol;Acc:MGI:5663745]"
"ENSMUSG00000106058","Gm43013","predicted gene 43013 [Source:MGI Symbol;Acc:MGI:5663150]"
"ENSMUSG00000106066","Igkv2-105","immunoglobulin kappa chain variable 2-105 [Source:MGI Symbol;Acc:MGI:5009874]"
"ENSMUSG00000106067","Gm7902","predicted gene 7902 [Source:MGI Symbol;Acc:MGI:3645041]"
"ENSMUSG00000106087","Gm43609","predicted gene 43609 [Source:MGI Symbol;Acc:MGI:5663746]"
"ENSMUSG00000106103","Gm43081","predicted gene 43081 [Source:MGI Symbol;Acc:MGI:5663218]"
"ENSMUSG00000106107","Gm43190","predicted gene 43190 [Source:MGI Symbol;Acc:MGI:5663327]"
"ENSMUSG00000106108","Gm43221","predicted gene 43221 [Source:MGI Symbol;Acc:MGI:5663358]"
"ENSMUSG00000106115","Gm43420","predicted gene 43420 [Source:MGI Symbol;Acc:MGI:5663557]"
"ENSMUSG00000106128","Gm43520","predicted gene 43520 [Source:MGI Symbol;Acc:MGI:5663657]"
"ENSMUSG00000106133","Gm3724","predicted gene 3724 [Source:MGI Symbol;Acc:MGI:3804937]"
"ENSMUSG00000106135","Gm6543","predicted gene 6543 [Source:MGI Symbol;Acc:MGI:3644322]"
"ENSMUSG00000106157","4930555A03Rik","RIKEN cDNA 4930555A03 gene [Source:MGI Symbol;Acc:MGI:1922587]"
"ENSMUSG00000106178","Gm42987","predicted gene 42987 [Source:MGI Symbol;Acc:MGI:5663124]"
"ENSMUSG00000106181","Gm9523","predicted gene 9523 [Source:MGI Symbol;Acc:MGI:3779932]"
"ENSMUSG00000106188","Gm9710","predicted gene 9710 [Source:MGI Symbol;Acc:MGI:3780118]"
"ENSMUSG00000106189","Gm42933","predicted gene 42933 [Source:MGI Symbol;Acc:MGI:5663070]"
"ENSMUSG00000106190","Gm20768","predicted gene, 20768 [Source:MGI Symbol;Acc:MGI:5434124]"
"ENSMUSG00000106205","C230096K16Rik","RIKEN cDNA C230096K16 gene [Source:MGI Symbol;Acc:MGI:3041194]"
"ENSMUSG00000106209","Gm42918","predicted gene 42918 [Source:MGI Symbol;Acc:MGI:5663055]"
"ENSMUSG00000106230","Gm29811","predicted gene, 29811 [Source:MGI Symbol;Acc:MGI:5588970]"
"ENSMUSG00000106237","Gm8066","predicted gene 8066 [Source:MGI Symbol;Acc:MGI:3646351]"
"ENSMUSG00000106241","Gm43143","predicted gene 43143 [Source:MGI Symbol;Acc:MGI:5663280]"
"ENSMUSG00000106261","Gm34086","predicted gene, 34086 [Source:MGI Symbol;Acc:MGI:5593245]"
"ENSMUSG00000106288","Gm43593","predicted gene 43593 [Source:MGI Symbol;Acc:MGI:5663730]"
"ENSMUSG00000106291","1110003F10Rik","RIKEN cDNA 1110003F10 gene [Source:MGI Symbol;Acc:MGI:1915726]"
"ENSMUSG00000106294","Gm8539","predicted gene 8539 [Source:MGI Symbol;Acc:MGI:3779802]"
"ENSMUSG00000106309","Gm40414","predicted gene, 40414 [Source:MGI Symbol;Acc:MGI:5623299]"
"ENSMUSG00000106310","Gm43523","predicted gene 43523 [Source:MGI Symbol;Acc:MGI:5663660]"
"ENSMUSG00000106311","Gm43755","predicted gene 43755 [Source:MGI Symbol;Acc:MGI:5663892]"
"ENSMUSG00000106317","Gm43848","predicted gene 43848 [Source:MGI Symbol;Acc:MGI:5663985]"
"ENSMUSG00000106326","Gm42977","predicted gene 42977 [Source:MGI Symbol;Acc:MGI:5663114]"
"ENSMUSG00000106350","Kif19b","kinesin family member 19B [Source:MGI Symbol;Acc:MGI:3646257]"
"ENSMUSG00000106375","Gm43361","predicted gene 43361 [Source:MGI Symbol;Acc:MGI:5663498]"
"ENSMUSG00000106379","Lhfpl3","lipoma HMGIC fusion partner-like 3 [Source:MGI Symbol;Acc:MGI:1925076]"
"ENSMUSG00000106390","Gm5551","predicted gene 5551 [Source:MGI Symbol;Acc:MGI:3642937]"
"ENSMUSG00000106391","Gm42690","predicted gene 42690 [Source:MGI Symbol;Acc:MGI:5662827]"
"ENSMUSG00000106392","Gm5870","predicted pseudogene 5870 [Source:MGI Symbol;Acc:MGI:3644057]"
"ENSMUSG00000106419","Gm5550","predicted gene 5550 [Source:MGI Symbol;Acc:MGI:3643895]"
"ENSMUSG00000106424","Gm34866","predicted gene, 34866 [Source:MGI Symbol;Acc:MGI:5594025]"
"ENSMUSG00000106426","Gm36211","predicted gene, 36211 [Source:MGI Symbol;Acc:MGI:5595370]"
"ENSMUSG00000106427","Gm42820","predicted gene 42820 [Source:MGI Symbol;Acc:MGI:5662957]"
"ENSMUSG00000106438","Gm32051","predicted gene, 32051 [Source:MGI Symbol;Acc:MGI:5591210]"
"ENSMUSG00000106441","Gm42921","predicted gene 42921 [Source:MGI Symbol;Acc:MGI:5663058]"
"ENSMUSG00000106455","Gm5711","predicted gene 5711 [Source:MGI Symbol;Acc:MGI:3643596]"
"ENSMUSG00000106456","Gm9678","predicted gene 9678 [Source:MGI Symbol;Acc:MGI:3780086]"
"ENSMUSG00000106457","Gm42585","predicted gene 42585 [Source:MGI Symbol;Acc:MGI:5662722]"
"ENSMUSG00000106464","C130083M11Rik","RIKEN cDNA C130083M11 gene [Source:MGI Symbol;Acc:MGI:3041216]"
"ENSMUSG00000106478","Gm36551","predicted gene, 36551 [Source:MGI Symbol;Acc:MGI:5595710]"
"ENSMUSG00000106484","Gm17833","predicted gene, 17833 [Source:MGI Symbol;Acc:MGI:5010018]"
"ENSMUSG00000106518","Gm42759","predicted gene 42759 [Source:MGI Symbol;Acc:MGI:5662896]"
"ENSMUSG00000106534","Gm6366","predicted gene 6366 [Source:MGI Symbol;Acc:MGI:3646411]"
"ENSMUSG00000106535","Gm43031","predicted gene 43031 [Source:MGI Symbol;Acc:MGI:5663168]"
"ENSMUSG00000106547","B230303O12Rik","RIKEN cDNA B230303O12 gene [Source:MGI Symbol;Acc:MGI:2442644]"
"ENSMUSG00000106550","Gm43646","predicted gene 43646 [Source:MGI Symbol;Acc:MGI:5663783]"
"ENSMUSG00000106558","Gm5552","predicted gene 5552 [Source:MGI Symbol;Acc:MGI:3643001]"
"ENSMUSG00000106583","4930447N08Rik","RIKEN cDNA 4930447N08 gene [Source:MGI Symbol;Acc:MGI:1918897]"
"ENSMUSG00000106588","Gm17590","predicted gene, 17590 [Source:MGI Symbol;Acc:MGI:4937224]"
"ENSMUSG00000106590","Gm42879","predicted gene 42879 [Source:MGI Symbol;Acc:MGI:5663016]"
"ENSMUSG00000106617","Gm36266","predicted gene, 36266 [Source:MGI Symbol;Acc:MGI:5595425]"
"ENSMUSG00000106622","Gm5554","predicted gene 5554 [Source:MGI Symbol;Acc:MGI:3648967]"
"ENSMUSG00000106629","Gm40155","predicted gene, 40155 [Source:MGI Symbol;Acc:MGI:5623040]"
"ENSMUSG00000106641","Gm43534","predicted gene 43534 [Source:MGI Symbol;Acc:MGI:5663671]"
"ENSMUSG00000106658","Gm36548","predicted gene, 36548 [Source:MGI Symbol;Acc:MGI:5595707]"
"ENSMUSG00000106662","Gm43034","predicted gene 43034 [Source:MGI Symbol;Acc:MGI:5663171]"
"ENSMUSG00000106664","Gm17936","predicted gene, 17936 [Source:MGI Symbol;Acc:MGI:5010121]"
"ENSMUSG00000106665","Gm43389","predicted gene 43389 [Source:MGI Symbol;Acc:MGI:5663526]"
"ENSMUSG00000106674","Gm20005","predicted gene, 20005 [Source:MGI Symbol;Acc:MGI:5012190]"
"ENSMUSG00000106678","Gm43457","predicted gene 43457 [Source:MGI Symbol;Acc:MGI:5663594]"
"ENSMUSG00000106682","Gm42648","predicted gene 42648 [Source:MGI Symbol;Acc:MGI:5662785]"
"ENSMUSG00000106688","Gm42851","predicted gene 42851 [Source:MGI Symbol;Acc:MGI:5662988]"
"ENSMUSG00000106698","Gm43599","predicted gene 43599 [Source:MGI Symbol;Acc:MGI:5663736]"
"ENSMUSG00000106709","Gm30270","predicted gene, 30270 [Source:MGI Symbol;Acc:MGI:5589429]"
"ENSMUSG00000106717","Gm42798","predicted gene 42798 [Source:MGI Symbol;Acc:MGI:5662935]"
"ENSMUSG00000106734","Gm20559","predicted gene, 20559 [Source:MGI Symbol;Acc:MGI:5295666]"
"ENSMUSG00000106743","Gm42847","predicted gene 42847 [Source:MGI Symbol;Acc:MGI:5662984]"
"ENSMUSG00000106746","2900064F13Rik","RIKEN cDNA 2900064F13 gene [Source:MGI Symbol;Acc:MGI:1920293]"
"ENSMUSG00000106751","Gm42467","predicted gene 42467 [Source:MGI Symbol;Acc:MGI:5662604]"
"ENSMUSG00000106755","Tpi-rs11","triosephosphate isomerase related sequence 11 [Source:MGI Symbol;Acc:MGI:98799]"
"ENSMUSG00000106757","Gm43482","predicted gene 43482 [Source:MGI Symbol;Acc:MGI:5663619]"
"ENSMUSG00000106767","Gm42727","predicted gene 42727 [Source:MGI Symbol;Acc:MGI:5662864]"
"ENSMUSG00000106795","Gm43050","predicted gene 43050 [Source:MGI Symbol;Acc:MGI:5663187]"
"ENSMUSG00000106803","Gm8930","predicted gene 8930 [Source:MGI Symbol;Acc:MGI:3646325]"
"ENSMUSG00000106812","Gm28563","predicted gene 28563 [Source:MGI Symbol;Acc:MGI:5579269]"
"ENSMUSG00000106820","D5Ertd605e","DNA segment, Chr 5, ERATO Doi 605, expressed [Source:MGI Symbol;Acc:MGI:1277165]"
"ENSMUSG00000106825","2510016D11Rik","RIKEN cDNA 2510016D11 gene [Source:MGI Symbol;Acc:MGI:1917539]"
"ENSMUSG00000106828","Gm34648","predicted gene, 34648 [Source:MGI Symbol;Acc:MGI:5593807]"
"ENSMUSG00000106831","Ube2n-ps1","ubiquitin-conjugating enzyme E2N, pseudogene 1 [Source:MGI Symbol;Acc:MGI:894296]"
"ENSMUSG00000106834","Gm10459","predicted gene 10459 [Source:MGI Symbol;Acc:MGI:3642067]"
"ENSMUSG00000106836","Gm43578","predicted gene 43578 [Source:MGI Symbol;Acc:MGI:5663715]"
"ENSMUSG00000106838","1810017P11Rik","RIKEN cDNA 1810017P11 gene [Source:MGI Symbol;Acc:MGI:1916294]"
"ENSMUSG00000106858","Gm43844","predicted gene 43844 [Source:MGI Symbol;Acc:MGI:5663981]"
"ENSMUSG00000106863","Gm42109","predicted gene, 42109 [Source:MGI Symbol;Acc:MGI:5624994]"
"ENSMUSG00000106864","Gtf3c2","general transcription factor IIIC, polypeptide 2, beta [Source:MGI Symbol;Acc:MGI:1919002]"
"ENSMUSG00000106870","Gm43681","predicted gene 43681 [Source:MGI Symbol;Acc:MGI:5663818]"
"ENSMUSG00000106874","Gm20186","predicted gene, 20186 [Source:MGI Symbol;Acc:MGI:5012371]"
"ENSMUSG00000106885","Eif3s6-ps4","eukaryotic translation initiation factor 3, subunit 6, pseudogene 4 [Source:MGI Symbol;Acc:MGI:103210]"
"ENSMUSG00000106891","Gm43460","predicted gene 43460 [Source:MGI Symbol;Acc:MGI:5663597]"
"ENSMUSG00000106894","Gm17130","predicted gene 17130 [Source:MGI Symbol;Acc:MGI:4937957]"
"ENSMUSG00000106895","Gm4754","predicted gene 4754 [Source:MGI Symbol;Acc:MGI:3645925]"
"ENSMUSG00000106904","Gm43029","predicted gene 43029 [Source:MGI Symbol;Acc:MGI:5663166]"
"ENSMUSG00000106915","Gm42655","predicted gene 42655 [Source:MGI Symbol;Acc:MGI:5662792]"
"ENSMUSG00000106918","Mrpl33","mitochondrial ribosomal protein L33 [Source:MGI Symbol;Acc:MGI:2137225]"
"ENSMUSG00000106926","Rpl7-ps7","ribosomal protein L7, pseudogene 7 [Source:MGI Symbol;Acc:MGI:3644615]"
"ENSMUSG00000106927","Gm43598","predicted gene 43598 [Source:MGI Symbol;Acc:MGI:5663735]"
"ENSMUSG00000106928","Gm43860","predicted gene 43860 [Source:MGI Symbol;Acc:MGI:5663997]"
"ENSMUSG00000106940","Gm42930","predicted gene 42930 [Source:MGI Symbol;Acc:MGI:5663067]"
"ENSMUSG00000106943","Dancr","differentiation antagonizing non-protein coding RNA [Source:MGI Symbol;Acc:MGI:1917286]"
"ENSMUSG00000106946","Gm42856","predicted gene 42856 [Source:MGI Symbol;Acc:MGI:5662993]"
"ENSMUSG00000106951","5930430L01Rik","RIKEN cDNA 5930430L01 gene [Source:MGI Symbol;Acc:MGI:2443110]"
"ENSMUSG00000106959","Gm42548","predicted gene 42548 [Source:MGI Symbol;Acc:MGI:5662685]"
"ENSMUSG00000106965","Gm18290","predicted gene, 18290 [Source:MGI Symbol;Acc:MGI:5010475]"
"ENSMUSG00000106968","C78283","expressed sequence C78283 [Source:MGI Symbol;Acc:MGI:2141303]"
"ENSMUSG00000106969","Gm42882","predicted gene 42882 [Source:MGI Symbol;Acc:MGI:5663019]"
"ENSMUSG00000106978","N4bp2os","NEDD4 binding protein 2, opposite strand [Source:MGI Symbol;Acc:MGI:1921484]"
"ENSMUSG00000106980","Gm43690","predicted gene 43690 [Source:MGI Symbol;Acc:MGI:5663827]"
"ENSMUSG00000106981","Gm45495","predicted gene 45495 [Source:MGI Symbol;Acc:MGI:5791331]"
"ENSMUSG00000106990","Gm42547","predicted gene 42547 [Source:MGI Symbol;Acc:MGI:5662684]"
"ENSMUSG00000107000","Gm43481","predicted gene 43481 [Source:MGI Symbol;Acc:MGI:5663618]"
"ENSMUSG00000107019","Gm43682","predicted gene 43682 [Source:MGI Symbol;Acc:MGI:5663819]"
"ENSMUSG00000107020","Gm6051","predicted gene 6051 [Source:MGI Symbol;Acc:MGI:3645584]"
"ENSMUSG00000107026","Gm7504","predicted gene 7504 [Source:MGI Symbol;Acc:MGI:3643241]"
"ENSMUSG00000107035","Ybx1-ps2","Y box protein 1, pseudogene 2 [Source:MGI Symbol;Acc:MGI:2137671]"
"ENSMUSG00000107044","Gm43086","predicted gene 43086 [Source:MGI Symbol;Acc:MGI:5663223]"
"ENSMUSG00000107063","Gm38554","predicted gene, 38554 [Source:MGI Symbol;Acc:MGI:5621439]"
"ENSMUSG00000107066","Gm4482","predicted gene 4482 [Source:MGI Symbol;Acc:MGI:3782666]"
"ENSMUSG00000107086","Gm43808","predicted gene 43808 [Source:MGI Symbol;Acc:MGI:5663945]"
"ENSMUSG00000107087","Gm34411","predicted gene, 34411 [Source:MGI Symbol;Acc:MGI:5593570]"
"ENSMUSG00000107090","Gm42884","predicted gene 42884 [Source:MGI Symbol;Acc:MGI:5663021]"
"ENSMUSG00000107092","Gm7993","predicted gene 7993 [Source:MGI Symbol;Acc:MGI:3647399]"
"ENSMUSG00000107094","Gm43294","predicted gene 43294 [Source:MGI Symbol;Acc:MGI:5663431]"
"ENSMUSG00000107096","Gm43597","predicted gene 43597 [Source:MGI Symbol;Acc:MGI:5663734]"
"ENSMUSG00000107108","Gm9936","predicted gene 9936 [Source:MGI Symbol;Acc:MGI:3641854]"
"ENSMUSG00000107118","Gm42986","predicted gene 42986 [Source:MGI Symbol;Acc:MGI:5663123]"
"ENSMUSG00000107120","Gm43059","predicted gene 43059 [Source:MGI Symbol;Acc:MGI:5663196]"
"ENSMUSG00000107121","1110006O24Rik","RIKEN cDNA 1110006O24 gene [Source:MGI Symbol;Acc:MGI:1913373]"
"ENSMUSG00000107134","Gm42528","predicted gene 42528 [Source:MGI Symbol;Acc:MGI:5662665]"
"ENSMUSG00000107143","Gm6598","predicted gene 6598 [Source:MGI Symbol;Acc:MGI:3646314]"
"ENSMUSG00000107145","Gm43442","predicted gene 43442 [Source:MGI Symbol;Acc:MGI:5663579]"
"ENSMUSG00000107149","Gm30708","predicted gene, 30708 [Source:MGI Symbol;Acc:MGI:5589867]"
"ENSMUSG00000107161","Gm43850","predicted gene 43850 [Source:MGI Symbol;Acc:MGI:5663987]"
"ENSMUSG00000107165","Gm43747","predicted gene 43747 [Source:MGI Symbol;Acc:MGI:5663884]"
"ENSMUSG00000107171","Gm42572","predicted gene 42572 [Source:MGI Symbol;Acc:MGI:5662709]"
"ENSMUSG00000107173","Gm43266","predicted gene 43266 [Source:MGI Symbol;Acc:MGI:5663403]"
"ENSMUSG00000107176","Gm9794","predicted pseudogene 9794 [Source:MGI Symbol;Acc:MGI:3642653]"
"ENSMUSG00000107182","Gm43268","predicted gene 43268 [Source:MGI Symbol;Acc:MGI:5663405]"
"ENSMUSG00000107191","Gm43579","predicted gene 43579 [Source:MGI Symbol;Acc:MGI:5663716]"
"ENSMUSG00000107195","4930589O11Rik","RIKEN cDNA 4930589O11 gene [Source:MGI Symbol;Acc:MGI:1925464]"
"ENSMUSG00000107198","Gm19619","predicted gene, 19619 [Source:MGI Symbol;Acc:MGI:5011804]"
"ENSMUSG00000107200","Gm43039","predicted gene 43039 [Source:MGI Symbol;Acc:MGI:5663176]"
"ENSMUSG00000107201","5930420M18Rik","RIKEN cDNA 5930420M18 gene [Source:MGI Symbol;Acc:MGI:2441703]"
"ENSMUSG00000107203","Gm7542","predicted gene 7542 [Source:MGI Symbol;Acc:MGI:3645071]"
"ENSMUSG00000107205","Gm42576","predicted gene 42576 [Source:MGI Symbol;Acc:MGI:5662713]"
"ENSMUSG00000107211","Gm5864","predicted gene 5864 [Source:MGI Symbol;Acc:MGI:3648579]"
"ENSMUSG00000107215","Gm43197","predicted gene 43197 [Source:MGI Symbol;Acc:MGI:5663334]"
"ENSMUSG00000107216","2210412B16Rik","RIKEN cDNA 2210412B16 gene [Source:MGI Symbol;Acc:MGI:1919625]"
"ENSMUSG00000107227","Gm42559","predicted gene 42559 [Source:MGI Symbol;Acc:MGI:5662696]"
"ENSMUSG00000107230","Gm19265","predicted gene, 19265 [Source:MGI Symbol;Acc:MGI:5011450]"
"ENSMUSG00000107240","Gm43231","predicted gene 43231 [Source:MGI Symbol;Acc:MGI:5663368]"
"ENSMUSG00000107257","Gm43028","predicted gene 43028 [Source:MGI Symbol;Acc:MGI:5663165]"
"ENSMUSG00000107261","Trmt112-ps1","tRNA methyltransferase 11-2, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3643840]"
"ENSMUSG00000107277","Gm10461","predicted gene 10461 [Source:MGI Symbol;Acc:MGI:3642164]"
"ENSMUSG00000107278","Gm42600","predicted gene 42600 [Source:MGI Symbol;Acc:MGI:5662737]"
"ENSMUSG00000107283","Mpv17","MpV17 mitochondrial inner membrane protein [Source:MGI Symbol;Acc:MGI:97138]"
